ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B018K6BGDA,Aniwon Fascinator Hair Clip Wedding Headpiece Sinamay Flower Feather Pillbox Hat,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$14.99,$5.44,9.55,"9,999,007",7,51,1,Fascigirl Direct,4.1,"""6.4"" x ""6.1"" x ""1.8""",Standard (Large),0.02
B019GHHGM2,Aniwon Fascinator Hair Hoop Cocktail Hat Feather Wedding Pillbox Hat for Women,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$44.97,$9.94,35.03,"5,809,726",3,45,1,Fascigirl Direct,4.2,"""15.8"" x ""11.3"" x ""2.8""",Standard (Large),0.1
B019GHHIL6,Aniwon Fascinator Hair Hoop Cocktail Hat Feather Wedding Pillbox Hat for Women,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$19.99,$6.19,13.8,"4,813,062",4,40,1,Fascigirl Direct,4.2,"""14"" x ""10.4"" x ""2.3""",Standard (Large),0.1
B015W47F1U,Aniwon Fascinator Hair Hoop Feather Headband Wedding Headwear for Bridal White,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$12.99,$5.14,7.85,"2,294,105",8,44,1,Fascigirl Direct,4.3,"""9"" x ""8.5"" x ""7.2""",Standard (Large),0.15
B018FZMYDW,Aniwon Fascinator Pillbox Hat Wedding Bridal Veil Headpiece Party Top Hat for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$17.99,N.A.,N.A.,"21,928,963",0,56,1,Fascigirl Direct,0,N.A.,True,0.44
B018FZN486,Aniwon Fascinator Pillbox Hat Wedding Bridal Veil Headpiece Party Top Hat for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$17.99,N.A.,N.A.,"23,527,511",0,56,1,Fascigirl Direct,0,N.A.,True,0.44
B018FZN1AW,Aniwon Fascinator Pillbox Hat Wedding Bridal Veil Headpiece Party Top Hat for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$17.99,N.A.,N.A.,"24,417,990",0,56,1,Fascigirl Direct,0,"""0"" x ""0"" x ""0""",True,0.44
B018L90JTI,Aniwon Feather Fascinator Pillbox Hat Kentucky Derby Hat Bridal Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$7.99,$4.39,3.6,"2,248,501",14,41,1,Fascigirl Direct,3.3,"""10.3"" x ""9.5"" x ""2.2""",Standard (Large),0.02
B019BSWS3I,Aniwon Feather Fascinator Pillbox Hat Wedding Sinamay Cocktail Hat for Women White,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$21.98,$6.49,15.49,"10,111,818",2,41,1,Fascigirl Direct,3.1,"""15.4"" x ""11.5"" x ""2.5""",Standard (Large),0.12
B01CNISMDS,Aniwon Feather Fascinator Tea Party Derby Pillbox Hat Hair Hood Bridal Hair Accessory,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,N.A.,N.A.,"25,408,445",0,57,1,Fascigirl Direct,0,N.A.,True,0.22
B0188SYVG4,Aniwon Feather Pillbox Hat Veil Fascinator Cocktail Wedding Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.69,$4.94,6.75,"6,621,690",0,46,1,Fascigirl Direct,,"""6.1"" x ""5.1"" x ""1.4""",Standard (Large),0.1
B0188SYQ1Y,Aniwon Feather Pillbox Hat Veil Fascinator Cocktail Wedding Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.69,$4.94,6.75,"6,621,690",0,46,1,Fascigirl Direct,,"""6.1"" x ""5.1"" x ""1.4""",Standard (Large),0.1
B0188SYT5C,Aniwon Feather Pillbox Hat Veil Fascinator Cocktail Wedding Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.69,$4.94,6.75,"6,621,690",0,36,1,Fascigirl Direct,,"""6.1"" x ""5.1"" x ""1.4""",Standard (Large),0.1
B0188ST04M,Aniwon Feather Pillbox Hat Veil Fascinator Cocktail Wedding Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.69,$4.94,6.75,"7,255,149",0,56,1,Fascigirl Direct,5,"""6.1"" x ""5.1"" x ""1.4""",Standard (Large),0.1
B0188ST2IQ,Aniwon Feather Pillbox Hat Veil Fascinator Cocktail Wedding Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.69,$4.94,6.75,"6,621,690",0,46,1,Fascigirl Direct,,"""6.1"" x ""5.1"" x ""1.4""",Standard (Large),0.1
B00T44U6U2,Aniwon Fingerless Gloves Bear Cat Claw Bear Paw Style Winter Plush Furry Mitten for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,$4.54,4.45,"1,333,223",27,53,1,Fascigirl Direct,3.7,"""7.1"" x ""6.3"" x ""2""",Standard (Large),0.02
B00Q44TU9I,Aniwon Fingerless Gloves Bear Cat Claw Bear Paw Style Winter Plush Furry Mitten for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,$4.54,4.45,"4,385,480",4,53,2,Fascigirl Direct,4.1,"""7.1"" x ""6.3"" x ""2""",Standard (Large),0.02
B01M4GTGPM,Aniwon Flapper Headband Elastic Feather Headband with Rhinestone Decoration,Aniwon,Health & Household,$0,0,$7.99,$4.39,3.6,"580,591",10,55,1,Fascigirl Direct,4.4,"""4"" x ""3"" x ""2""",Standard (Large),0.18
B0181QSZ4W,Aniwon Flower Fascinator Cocktail Hat Hair Hoop Wedding Headwear Bridal Headpiece,Aniwon,"Clothing, Shoes & Jewelry",$476.47,53,$8.99,$4.54,4.45,"50,989",271,63,1,Fascigirl Direct,4.1,"""7.8"" x ""5.5"" x ""0.8""",Standard (Large),0.02
B0181QT07S,Aniwon Flower Fascinator Cocktail Hat Hair Hoop Wedding Headwear Bridal Headpiece,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,$4.54,4.45,"21,303,980",1,41,1,Fascigirl Direct,5,"""7.8"" x ""5.5"" x ""0.8""",Standard (Large),0.02
B07QDW99ZC,"Aniwon Hair Scrunchies for Women and Girls, 5Pcs Chiffon Bow Elastic Flower Hair Bands Hair Vintage Ponytail Holder Scrunchy Ties Hair Ropes for Wedding Party Birthday Valentine's Day",Aniwon,Beauty & Personal Care,$0,0,$10.99,$4.84,6.15,"526,495",9,45,1,Life Dominater,4.7,"""2"" x ""6"" x ""8""",Standard (Large),0.1499
B07B8MF956,"Aniwon Infant Costume Jumpsuit, Baby Jumpsuit Cloth Outfit Cute Chicken Feather Jumpsuit Newborn Photography Prop",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$12.99,$5.14,7.85,"9,088,921",,49,1,Cherubaby,,"""7.87"" x ""5.91"" x ""3.15""",Standard (Large),0.49
B07MB5TVCK,"Aniwon Kawaii Muffle Mask, 5 pack Anti-Dust Anime Cotton Mouth Mask Cute Kaomoji Face Mask",Aniwon,"Clothing, Shoes & Jewelry",$359.7,30,$11.99,$4.99,7,"470,165",4,59,2,Cherubaby,4.7,"""1.2598"" x ""1.7717"" x ""9.2126""",Standard (Large),0.205
B078S5YT6R,"Aniwon Kawaii Muffle Mask, 5 Pack Anti-Dust Anime Cotton Mouth Mask Cute Kaomoji Face Mask",Aniwon,Health & Household,$3673.25,175,$20.99,$6.34,14.65,"42,789",166,34,1,Available from these sellers.,4.6,"""1"" x ""5"" x ""8""",Standard (Large),0.2094
B01M8QXFEP,"Aniwon Knit Hat, Chunky Beanie Hat Winter Warm Stretch Cable Cap Hats For Women Men",Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$3.99,$4.19,-0.2,"2,401,540",3,50,1,Fascigirl Direct,5,"""8.19"" x ""3.54"" x ""2.91""",Standard (Large),0.44
B07G72CNCM,Aniwon Lovely Cat Claw Bear Paw Winter Plush Gloves Mitt for Women Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$5.99,$4.19,1.8,"11,773,532",,55,1,Zoylink,,"""2.3622"" x ""5.8661"" x ""7.752""",Standard (Large),0.108
B07G73QZT8,Aniwon Lovely Cat Claw Bear Paw Winter Plush Gloves Mitt for Women Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$5.99,N.A.,N.A.,"11,741,334",1,55,1,Zoylink,5,"""2.3622"" x ""5.8661"" x ""7.7559""",,0.108
B07CK51RZ2,Aniwon Men's Necktie Fashion Classic Pre-Tied Adjustable Zipper Up Business Tie Formal Necktie 3.15'',Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,N.A.,N.A.,"7,531,793",2,49,1,Life Dominater,5,N.A.,,
B0761QHBGR,"Aniwon Mouth Mask, 4 Pack Unisex Kpop Mask EXO Mask Anti-dust Cotton Face Mask for Men and Women (Black&White)",Aniwon,Beauty & Personal Care,$3114.36,164,$18.99,N.A.,N.A.,"84,541",177,59,1,Available from these sellers.,4.2,"""2"" x ""1"" x ""1""",,
